0	0	1	0
0.8	0	1.65	0.6
1.6	0	2.264	1.1
2.4	0	3.048	1.62
3.2	0	3.96	2.26
4	0	5.32	3.28
4.8	0	7.142	4.24
5.6	0	10.038	5.2
6.4	0	14.74	6.98
7.2	0	20.472	8.48
8	0.002	28.4	10.28
8.8	0.022	35.758	11.46
9.6	0.134	41.974	10.52
10.4	0.346	45.948	9.98
11.2	0.582	48.262	8.72
12	0.778	49.222	7.96
12.8	0.864	49.62	7.18
13.6	0.942	49.88	6.5
14.4	0.962	49.94	6.2
15.2	0.972	49.954	5.58
16	0.986	49.982	5.3
16.8	0.99	49.99	4.9
17.6	0.998	49.994	4.7
18.4	0.994	49.99	4.42
19.2	1	50	4.2
20	1	50	4
20.8	0.998	49.998	4.04
21.6	0.998	49.998	3.86
22.4	1	50	3.76
23.2	1	50	3.36
24	1	50	3.18
24.8	1	50	3.08
25.6	1	50	3.06
26.4	1	50	3.06
27.2	1	50	3
28	1	50	3
28.8	1	50	2.98
29.6	1	50	2.94
30.4	1	50	2.88
31.2	1	50	2.72
32	1	50	2.72
32.8	1	50	2.38
33.6	1	50	2.26
34.4	1	50	2.14
35.2	1	50	2.04
36	1	50	2.06
36.8	1	50	2
37.6	1	50	2
38.4	1	50	2
39.2	1	50	2
40	1	50	2
40.8	1	50	2
41.6	1	50	2
42.4	1	50	2
43.2	1	50	2
44	1	50	2
44.8	1	50	2
45.6	1	50	2
46.4	1	50	2
47.2	1	50	2
48	1	50	2
48.8	1	50	2
49.6	1	50	2
50.4	1	50	2
51.2	1	50	2
52	1	50	2
52.8	1	50	2
53.6	1	50	2
54.4	1	50	2
55.2	1	50	2
56	1	50	2
56.8	1	50	2
57.6	1	50	2
58.4	1	50	2
59.2	1	50	2
60	1	50	2
60.8	1	50	2
61.6	1	50	2
62.4	1	50	2
63.2	1	50	2
64	1	50	2
64.8	1	50	2
65.6	1	50	2
66.4	1	50	2
67.2	1	50	2
68	1	50	2
68.8	1	50	2
69.6	1	50	2
70.4	1	50	2
71.2	1	50	2
72	1	50	2
72.8	1	50	2
73.6	1	50	2
74.4	1	50	2
75.2	1	50	2
76	1	50	2
76.8	1	50	2
77.6	1	50	2
78.4	1	50	2
79.2	1	50	2
