0	0	1	0
0.2	0	1.372	0.36
0.4	0	1.74	0.82
0.6	0.018	2.1	1.12
0.8	0.046	2.498	1.42
1	0.08	2.632	1.54
1.2	0.146	3.11	1.88
1.4	0.218	3.39	2.26
1.6	0.302	3.65	2.18
1.8	0.394	3.904	2.04
2	0.536	4.218	2.48
2.2	0.578	4.344	2.36
2.4	0.698	4.524	2.48
2.6	0.752	4.638	2.46
2.8	0.804	4.72	2.36
3	0.87	4.822	2.38
3.2	0.922	4.9	2.18
3.4	0.942	4.924	2.12
3.6	0.966	4.962	2.08
3.8	0.992	4.992	2
4	0.994	4.994	1.9
4.2	0.998	4.998	1.76
4.4	1	5	1.76
4.6	1	5	1.48
4.8	1	5	1.4
5	1	5	1
5.2	1	5	1
5.4	1	5	1
5.6	1	5	1
5.8	1	5	1
6	1	5	1
6.2	1	5	1
6.4	1	5	1
6.6	1	5	1
6.8	1	5	1
7	1	5	1
7.2	1	5	1
7.4	1	5	1
7.6	1	5	1
7.8	1	5	1
8	1	5	1
8.2	1	5	1
8.4	1	5	1
8.6	1	5	1
8.8	1	5	1
9	1	5	1
9.2	1	5	1
9.4	1	5	1
9.6	1	5	1
9.8	1	5	1
10	1	5	1
10.2	1	5	1
10.4	1	5	1
10.6	1	5	1
10.8	1	5	1
11	1	5	1
11.2	1	5	1
11.4	1	5	1
11.6	1	5	1
11.8	1	5	1
12	1	5	1
12.2	1	5	1
12.4	1	5	1
12.6	1	5	1
12.8	1	5	1
13	1	5	1
13.2	1	5	1
13.4	1	5	1
13.6	1	5	1
13.8	1	5	1
14	1	5	1
14.2	1	5	1
14.4	1	5	1
14.6	1	5	1
14.8	1	5	1
15	1	5	1
15.2	1	5	1
15.4	1	5	1
15.6	1	5	1
15.8	1	5	1
16	1	5	1
16.2	1	5	1
16.4	1	5	1
16.6	1	5	1
16.8	1	5	1
17	1	5	1
17.2	1	5	1
17.4	1	5	1
17.6	1	5	1
17.8	1	5	1
18	1	5	1
18.2	1	5	1
18.4	1	5	1
18.6	1	5	1
18.8	1	5	1
19	1	5	1
19.2	1	5	1
19.4	1	5	1
19.6	1	5	1
19.8	1	5	1
