0	0	1	0
0.8	0	1.658	0.68
1.6	0	2.006	0.98
2.4	0	2.166	1.2
3.2	0	2.5	1.32
4	0	2.816	1.54
4.8	0	3.196	2
5.6	0	3.514	2.1
6.4	0	3.924	2.64
7.2	0	4.352	2.76
8	0	4.796	3.12
8.8	0	5.322	3.48
9.6	0	6.008	3.72
10.4	0	6.736	4.22
11.2	0	7.492	4.78
12	0	8.328	5.24
12.8	0	9.528	5.74
13.6	0	10.666	6.68
14.4	0	12.052	7.06
15.2	0	14.052	7.74
16	0	15.988	8.86
16.8	0	18.41	9.4
17.6	0	21.62	10.6
18.4	0	25.83	12.56
19.2	0	30.086	13.38
20	0	36.37	14.94
20.8	0	43.938	17.94
21.6	0	55.03	20.84
22.4	0	69.142	22.92
23.2	0	91.138	26.48
24	0	113.124	30.76
24.8	0	153.93	34.36
25.6	0	189.806	36.92
26.4	0	255.148	45.38
27.2	0	295.476	46.88
28	0	359.994	46.94
28.8	0	403.758	44.16
29.6	0	429.452	44.44
30.4	0	454.148	42.2
31.2	0.002	468.802	38.46
32	0.008	480.554	36.7
32.8	0.024	485.632	33.8
33.6	0.074	490.686	31.96
34.4	0.112	492.372	30.44
35.2	0.2	494.886	29.14
36	0.316	496.156	27.56
36.8	0.38	497.158	26.24
37.6	0.394	497.692	26.08
38.4	0.514	498.432	24.78
39.2	0.602	498.74	24.26
40	0.674	498.9	23.26
40.8	0.758	499.486	22.6
41.6	0.796	499.512	22.12
42.4	0.782	499.44	21.46
43.2	0.828	499.648	20.9
44	0.854	499.686	20.62
44.8	0.912	499.77	19.96
45.6	0.91	499.79	19.42
46.4	0.912	499.848	19.04
47.2	0.94	499.912	18.48
48	0.964	499.93	18.1
48.8	0.966	499.948	17.92
49.6	0.972	499.952	17.34
50.4	0.966	499.946	16.94
51.2	0.974	499.96	16.8
52	0.982	499.976	16.24
52.8	0.99	499.986	16
53.6	0.988	499.97	15.74
54.4	0.988	499.982	15.44
55.2	0.99	499.98	15.26
56	0.992	499.99	14.98
56.8	0.998	499.998	14.74
57.6	0.996	499.994	14.58
58.4	0.996	499.992	14.18
59.2	0.996	499.992	13.94
60	0.998	499.998	13.86
60.8	0.998	499.998	13.52
61.6	1	500	13.24
62.4	0.996	499.994	13.12
63.2	1	500	12.98
64	0.996	499.994	12.78
64.8	1	500	12.66
65.6	0.998	499.998	12.52
66.4	1	500	12.16
67.2	1	500	12.08
68	1	500	11.98
68.8	1	500	11.82
69.6	0.998	499.998	11.64
70.4	1	500	11.44
71.2	1	500	11.3
72	1	500	11.06
72.8	1	500	11.02
73.6	1	500	10.92
74.4	1	500	10.88
75.2	1	500	10.68
76	1	500	10.56
76.8	1	500	10.26
77.6	1	500	10.06
78.4	1	500	10.04
79.2	1	500	10.02
