0	0	1	0
0.8	0	1.616	0.54
1.6	0	2.008	0.98
2.4	0	2.098	1.12
3.2	0	2.318	1.14
4	0	2.524	1.46
4.8	0	2.884	1.8
5.6	0	3.102	1.98
6.4	0	3.322	2
7.2	0	3.536	2.32
8	0	3.926	2.52
8.8	0	4.206	2.78
9.6	0	4.58	3.06
10.4	0	4.858	3.48
11.2	0	5.26	3.48
12	0	5.636	3.62
12.8	0	6.252	4.14
13.6	0	6.608	4.46
14.4	0	7.202	4.52
15.2	0	7.758	5.14
16	0	8.402	5.36
16.8	0	9.138	5.9
17.6	0	10.144	6.24
18.4	0	11.206	6.9
19.2	0	12.104	7.38
20	0	13.198	8.06
20.8	0	14.54	8.24
21.6	0	16.466	9.7
22.4	0	18.22	9.4
23.2	0	20.29	11.04
24	0	22.544	11.56
24.8	0	25.514	13
25.6	0	29.042	14.52
26.4	0	32.574	14.76
27.2	0	36.47	15.82
28	0	42.02	16.88
28.8	0	49.884	18.24
29.6	0	57.508	20.78
30.4	0	68.962	24.5
31.2	0	80.66	27.02
32	0	98.836	27.6
32.8	0	123.696	33.18
33.6	0	147.156	38.98
34.4	0	185.816	40.22
35.2	0	241.056	43.62
36	0	300.658	52.54
36.8	0	378.408	58.06
37.6	0	496.58	65.22
38.4	0	581.218	71.28
39.2	0	666.288	73.52
40	0	769.394	72
40.8	0	833.214	67.84
41.6	0	884.462	65.16
42.4	0	916.364	59.72
43.2	0	937.586	56.94
44	0	958.456	56.42
44.8	0	970.272	51.46
45.6	0	974.526	49.54
46.4	0.006	979.994	46.74
47.2	0.018	984.412	45.56
48	0.026	988.364	43.76
48.8	0.048	990.944	42.28
49.6	0.108	993.02	41.3
50.4	0.124	994.594	39.78
51.2	0.168	995.3	39.18
52	0.202	996.178	37.9
52.8	0.284	996.864	36.88
53.6	0.354	997.14	35.92
54.4	0.428	998.214	34.84
55.2	0.46	998.004	34.42
56	0.566	998.588	33.82
56.8	0.572	998.856	32.88
57.6	0.614	998.89	32.1
58.4	0.638	999.116	31.64
59.2	0.708	999.244	30.92
60	0.712	999.32	30.26
60.8	0.792	999.48	29.78
61.6	0.83	999.606	29.42
62.4	0.856	999.666	28.54
63.2	0.884	999.788	28.18
64	0.894	999.778	27.66
64.8	0.916	999.844	27.38
65.6	0.922	999.838	26.98
66.4	0.94	999.87	26.32
67.2	0.936	999.912	25.98
68	0.948	999.898	25.76
68.8	0.958	999.928	25.32
69.6	0.96	999.934	24.98
70.4	0.952	999.93	24.56
71.2	0.974	999.968	24.2
72	0.964	999.936	23.8
72.8	0.974	999.968	23.38
73.6	0.98	999.962	23.26
74.4	0.982	999.972	22.9
75.2	0.984	999.98	22.58
76	0.972	999.962	22.28
76.8	0.982	999.972	21.94
77.6	0.994	999.994	21.66
78.4	0.996	999.994	21.46
79.2	0.992	999.982	21.18
